DATE                                      VALUE
2008-04-01                              7.61285
2008-07-01                              7.56768
2008-10-01                              7.46430
2009-01-01                              7.30681
2009-04-01                              7.24219
2009-07-01                              7.24939
2009-10-01                              7.32781
2010-01-01                              7.39634
2010-04-01                              7.45489
2010-07-01                              7.47692
2010-10-01                              7.45849
2011-01-01                              7.46786
2011-04-01                              7.48349
2011-07-01                              7.48673
2011-10-01                              7.53673
2012-01-01                              7.55119
